destination_port,payload_len,description,label
7680,62,Normal background traffic,BENIGN
9993,97,Normal background traffic,BENIGN
7680,391,Normal background traffic,BENIGN
53,192,Normal background traffic,BENIGN
7680,390,Normal background traffic,BENIGN
9993,145,Normal background traffic,BENIGN
9993,485,Normal background traffic,BENIGN
80,52,Normal background traffic,BENIGN
80,443,Normal background traffic,BENIGN
53,101,Normal background traffic,BENIGN
80,299,Normal background traffic,BENIGN
7680,380,Normal background traffic,BENIGN
9993,287,Normal background traffic,BENIGN
53,210,Normal background traffic,BENIGN
443,67,Normal background traffic,BENIGN
7680,45,Normal background traffic,BENIGN
53,493,Normal background traffic,BENIGN
9993,363,Normal background traffic,BENIGN
53,325,Normal background traffic,BENIGN
7680,293,Normal background traffic,BENIGN
80,88,Normal background traffic,BENIGN
7680,126,Normal background traffic,BENIGN
80,192,Normal background traffic,BENIGN
443,50,Normal background traffic,BENIGN
9993,232,Normal background traffic,BENIGN
7680,160,Normal background traffic,BENIGN
7680,282,Normal background traffic,BENIGN
53,265,Normal background traffic,BENIGN
9993,61,Normal background traffic,BENIGN
9993,105,Normal background traffic,BENIGN
7680,413,Normal background traffic,BENIGN
7680,425,Normal background traffic,BENIGN
80,110,Normal background traffic,BENIGN
80,81,Normal background traffic,BENIGN
443,247,Normal background traffic,BENIGN
9993,89,Normal background traffic,BENIGN
9993,143,Normal background traffic,BENIGN
80,151,Normal background traffic,BENIGN
80,111,Normal background traffic,BENIGN
9993,210,Normal background traffic,BENIGN
53,421,Normal background traffic,BENIGN
443,316,Normal background traffic,BENIGN
9993,345,Normal background traffic,BENIGN
7680,464,Normal background traffic,BENIGN
443,161,Normal background traffic,BENIGN
7680,342,Normal background traffic,BENIGN
7680,204,Normal background traffic,BENIGN
80,432,Normal background traffic,BENIGN
7680,30,Normal background traffic,BENIGN
53,42,Normal background traffic,BENIGN
9993,270,Normal background traffic,BENIGN
80,402,Normal background traffic,BENIGN
80,143,Normal background traffic,BENIGN
80,195,Normal background traffic,BENIGN
9993,451,Normal background traffic,BENIGN
443,248,Normal background traffic,BENIGN
80,187,Normal background traffic,BENIGN
443,453,Normal background traffic,BENIGN
53,163,Normal background traffic,BENIGN
443,490,Normal background traffic,BENIGN
7680,258,Normal background traffic,BENIGN
80,264,Normal background traffic,BENIGN
80,404,Normal background traffic,BENIGN
7680,436,Normal background traffic,BENIGN
53,462,Normal background traffic,BENIGN
80,446,Normal background traffic,BENIGN
443,30,Normal background traffic,BENIGN
443,50,Normal background traffic,BENIGN
80,121,Normal background traffic,BENIGN
7680,354,Normal background traffic,BENIGN
7680,66,Normal background traffic,BENIGN
80,153,Normal background traffic,BENIGN
443,91,Normal background traffic,BENIGN
80,121,Normal background traffic,BENIGN
443,396,Normal background traffic,BENIGN
80,132,Normal background traffic,BENIGN
443,293,Normal background traffic,BENIGN
9993,251,Normal background traffic,BENIGN
9993,304,Normal background traffic,BENIGN
53,460,Normal background traffic,BENIGN
443,466,Normal background traffic,BENIGN
7680,91,Normal background traffic,BENIGN
53,294,Normal background traffic,BENIGN
9993,374,Normal background traffic,BENIGN
443,97,Normal background traffic,BENIGN
443,124,Normal background traffic,BENIGN
53,114,Normal background traffic,BENIGN
9993,42,Normal background traffic,BENIGN
80,447,Normal background traffic,BENIGN
53,62,Normal background traffic,BENIGN
53,367,Normal background traffic,BENIGN
7680,404,Normal background traffic,BENIGN
7680,486,Normal background traffic,BENIGN
7680,208,Normal background traffic,BENIGN
443,53,Normal background traffic,BENIGN
7680,232,Normal background traffic,BENIGN
53,277,Normal background traffic,BENIGN
7680,150,Normal background traffic,BENIGN
443,493,Normal background traffic,BENIGN
7680,311,Normal background traffic,BENIGN
7680,63,Normal background traffic,BENIGN
9993,163,Normal background traffic,BENIGN
53,354,Normal background traffic,BENIGN
443,155,Normal background traffic,BENIGN
443,109,Normal background traffic,BENIGN
7680,69,Normal background traffic,BENIGN
53,118,Normal background traffic,BENIGN
7680,277,Normal background traffic,BENIGN
53,334,Normal background traffic,BENIGN
9993,427,Normal background traffic,BENIGN
443,416,Normal background traffic,BENIGN
80,195,Normal background traffic,BENIGN
443,336,Normal background traffic,BENIGN
7680,204,Normal background traffic,BENIGN
53,146,Normal background traffic,BENIGN
7680,171,Normal background traffic,BENIGN
53,302,Normal background traffic,BENIGN
9993,438,Normal background traffic,BENIGN
443,101,Normal background traffic,BENIGN
7680,200,Normal background traffic,BENIGN
443,174,Normal background traffic,BENIGN
9993,32,Normal background traffic,BENIGN
443,317,Normal background traffic,BENIGN
9993,69,Normal background traffic,BENIGN
53,92,Normal background traffic,BENIGN
443,400,Normal background traffic,BENIGN
443,90,Normal background traffic,BENIGN
9993,213,Normal background traffic,BENIGN
53,459,Normal background traffic,BENIGN
9993,460,Normal background traffic,BENIGN
443,307,Normal background traffic,BENIGN
80,388,Normal background traffic,BENIGN
9993,66,Normal background traffic,BENIGN
9993,388,Normal background traffic,BENIGN
53,230,Normal background traffic,BENIGN
443,340,Normal background traffic,BENIGN
53,130,Normal background traffic,BENIGN
7680,438,Normal background traffic,BENIGN
7680,399,Normal background traffic,BENIGN
7680,69,Normal background traffic,BENIGN
9993,313,Normal background traffic,BENIGN
443,360,Normal background traffic,BENIGN
443,286,Normal background traffic,BENIGN
80,135,Normal background traffic,BENIGN
443,331,Normal background traffic,BENIGN
80,399,Normal background traffic,BENIGN
7680,285,Normal background traffic,BENIGN
9993,173,Normal background traffic,BENIGN
9993,352,Normal background traffic,BENIGN
53,408,Normal background traffic,BENIGN
80,321,Normal background traffic,BENIGN
443,386,Normal background traffic,BENIGN
53,428,Normal background traffic,BENIGN
443,261,Normal background traffic,BENIGN
443,259,Normal background traffic,BENIGN
443,452,Normal background traffic,BENIGN
53,34,Normal background traffic,BENIGN
7680,379,Normal background traffic,BENIGN
53,244,Normal background traffic,BENIGN
9993,119,Normal background traffic,BENIGN
7680,335,Normal background traffic,BENIGN
9993,75,Normal background traffic,BENIGN
7680,417,Normal background traffic,BENIGN
53,329,Normal background traffic,BENIGN
80,412,Normal background traffic,BENIGN
80,468,Normal background traffic,BENIGN
7680,318,Normal background traffic,BENIGN
443,446,Normal background traffic,BENIGN
80,146,Normal background traffic,BENIGN
80,127,Normal background traffic,BENIGN
443,71,Normal background traffic,BENIGN
9993,276,Normal background traffic,BENIGN
443,151,Normal background traffic,BENIGN
53,408,Normal background traffic,BENIGN
53,29,Normal background traffic,BENIGN
7680,326,Normal background traffic,BENIGN
7680,44,Normal background traffic,BENIGN
53,286,Normal background traffic,BENIGN
443,368,Normal background traffic,BENIGN
7680,369,Normal background traffic,BENIGN
9993,438,Normal background traffic,BENIGN
443,476,Normal background traffic,BENIGN
7680,265,Normal background traffic,BENIGN
53,22,Normal background traffic,BENIGN
443,258,Normal background traffic,BENIGN
80,397,Normal background traffic,BENIGN
443,99,Normal background traffic,BENIGN
80,435,Normal background traffic,BENIGN
443,236,Normal background traffic,BENIGN
443,180,Normal background traffic,BENIGN
7680,364,Normal background traffic,BENIGN
443,402,Normal background traffic,BENIGN
7680,403,Normal background traffic,BENIGN
443,104,Normal background traffic,BENIGN
443,376,Normal background traffic,BENIGN
443,439,Normal background traffic,BENIGN
7680,335,Normal background traffic,BENIGN
443,388,Normal background traffic,BENIGN
7680,369,Normal background traffic,BENIGN
7680,122,Normal background traffic,BENIGN
9993,141,Normal background traffic,BENIGN
53,358,Normal background traffic,BENIGN
9993,265,Normal background traffic,BENIGN
443,319,Normal background traffic,BENIGN
80,50,Normal background traffic,BENIGN
9993,250,Normal background traffic,BENIGN
443,302,Normal background traffic,BENIGN
7680,471,Normal background traffic,BENIGN
443,196,Normal background traffic,BENIGN
80,138,Normal background traffic,BENIGN
53,356,Normal background traffic,BENIGN
7680,145,Normal background traffic,BENIGN
443,348,Normal background traffic,BENIGN
9993,279,Normal background traffic,BENIGN
53,387,Normal background traffic,BENIGN
53,418,Normal background traffic,BENIGN
80,311,Normal background traffic,BENIGN
9993,91,Normal background traffic,BENIGN
80,33,Normal background traffic,BENIGN
53,125,Normal background traffic,BENIGN
443,122,Normal background traffic,BENIGN
7680,326,Normal background traffic,BENIGN
443,289,Normal background traffic,BENIGN
443,380,Normal background traffic,BENIGN
7680,230,Normal background traffic,BENIGN
9993,315,Normal background traffic,BENIGN
9993,162,Normal background traffic,BENIGN
80,475,Normal background traffic,BENIGN
53,63,Normal background traffic,BENIGN
443,371,Normal background traffic,BENIGN
443,128,Normal background traffic,BENIGN
53,379,Normal background traffic,BENIGN
9993,95,Normal background traffic,BENIGN
7680,178,Normal background traffic,BENIGN
7680,183,Normal background traffic,BENIGN
80,169,Normal background traffic,BENIGN
80,46,Normal background traffic,BENIGN
53,343,Normal background traffic,BENIGN
80,373,Normal background traffic,BENIGN
9993,63,Normal background traffic,BENIGN
9993,464,Normal background traffic,BENIGN
9993,110,Normal background traffic,BENIGN
53,342,Normal background traffic,BENIGN
443,491,Normal background traffic,BENIGN
7680,490,Normal background traffic,BENIGN
7680,145,Normal background traffic,BENIGN
53,112,Normal background traffic,BENIGN
80,341,Normal background traffic,BENIGN
9993,424,Normal background traffic,BENIGN
53,309,Normal background traffic,BENIGN
7680,257,Normal background traffic,BENIGN
443,68,Normal background traffic,BENIGN
53,75,Normal background traffic,BENIGN
443,210,Normal background traffic,BENIGN
7680,85,Normal background traffic,BENIGN
53,299,Normal background traffic,BENIGN
9993,359,Normal background traffic,BENIGN
9993,337,Normal background traffic,BENIGN
9993,411,Normal background traffic,BENIGN
9993,336,Normal background traffic,BENIGN
53,372,Normal background traffic,BENIGN
80,254,Normal background traffic,BENIGN
53,133,Normal background traffic,BENIGN
53,465,Normal background traffic,BENIGN
7680,299,Normal background traffic,BENIGN
80,273,Normal background traffic,BENIGN
443,64,Normal background traffic,BENIGN
80,459,Normal background traffic,BENIGN
9993,217,Normal background traffic,BENIGN
443,69,Normal background traffic,BENIGN
443,93,Normal background traffic,BENIGN
7680,44,Normal background traffic,BENIGN
9993,149,Normal background traffic,BENIGN
53,432,Normal background traffic,BENIGN
443,447,Normal background traffic,BENIGN
80,287,Normal background traffic,BENIGN
53,322,Normal background traffic,BENIGN
443,269,Normal background traffic,BENIGN
9993,402,Normal background traffic,BENIGN
7680,354,Normal background traffic,BENIGN
7680,152,Normal background traffic,BENIGN
80,336,Normal background traffic,BENIGN
443,256,Normal background traffic,BENIGN
80,392,Normal background traffic,BENIGN
443,431,Normal background traffic,BENIGN
7680,117,Normal background traffic,BENIGN
80,492,Normal background traffic,BENIGN
9993,127,Normal background traffic,BENIGN
443,339,Normal background traffic,BENIGN
443,341,Normal background traffic,BENIGN
443,88,Normal background traffic,BENIGN
53,96,Normal background traffic,BENIGN
9993,62,Normal background traffic,BENIGN
9993,342,Normal background traffic,BENIGN
9993,388,Normal background traffic,BENIGN
7680,180,Normal background traffic,BENIGN
9993,424,Normal background traffic,BENIGN
9993,199,Normal background traffic,BENIGN
443,443,Normal background traffic,BENIGN
53,349,Normal background traffic,BENIGN
7680,447,Normal background traffic,BENIGN
53,290,Normal background traffic,BENIGN
443,132,Normal background traffic,BENIGN
9993,463,Normal background traffic,BENIGN
443,284,Normal background traffic,BENIGN
53,257,Normal background traffic,BENIGN
443,147,Normal background traffic,BENIGN
7680,351,Normal background traffic,BENIGN
7680,447,Normal background traffic,BENIGN
7680,163,Normal background traffic,BENIGN
9993,95,Normal background traffic,BENIGN
80,446,Normal background traffic,BENIGN
80,35,Normal background traffic,BENIGN
53,113,Normal background traffic,BENIGN
7680,274,Normal background traffic,BENIGN
80,319,Normal background traffic,BENIGN
80,205,Normal background traffic,BENIGN
443,315,Normal background traffic,BENIGN
7680,89,Normal background traffic,BENIGN
9993,298,Normal background traffic,BENIGN
80,380,Normal background traffic,BENIGN
443,230,Normal background traffic,BENIGN
9993,101,Normal background traffic,BENIGN
9993,250,Normal background traffic,BENIGN
80,29,Normal background traffic,BENIGN
9993,98,Normal background traffic,BENIGN
7680,258,Normal background traffic,BENIGN
53,375,Normal background traffic,BENIGN
53,308,Normal background traffic,BENIGN
9993,82,Normal background traffic,BENIGN
7680,435,Normal background traffic,BENIGN
9993,500,Normal background traffic,BENIGN
80,87,Normal background traffic,BENIGN
9993,391,Normal background traffic,BENIGN
9993,315,Normal background traffic,BENIGN
7680,378,Normal background traffic,BENIGN
7680,314,Normal background traffic,BENIGN
9993,321,Normal background traffic,BENIGN
7680,432,Normal background traffic,BENIGN
443,97,Normal background traffic,BENIGN
53,273,Normal background traffic,BENIGN
53,37,Normal background traffic,BENIGN
80,168,Normal background traffic,BENIGN
7680,410,Normal background traffic,BENIGN
7680,208,Normal background traffic,BENIGN
443,397,Normal background traffic,BENIGN
80,481,Normal background traffic,BENIGN
9993,21,Normal background traffic,BENIGN
53,480,Normal background traffic,BENIGN
7680,238,Normal background traffic,BENIGN
443,402,Normal background traffic,BENIGN
7680,213,Normal background traffic,BENIGN
9993,21,Normal background traffic,BENIGN
7680,393,Normal background traffic,BENIGN
53,380,Normal background traffic,BENIGN
53,108,Normal background traffic,BENIGN
9993,284,Normal background traffic,BENIGN
9993,295,Normal background traffic,BENIGN
9993,379,Normal background traffic,BENIGN
9993,425,Normal background traffic,BENIGN
443,431,Normal background traffic,BENIGN
9993,153,Normal background traffic,BENIGN
443,207,Normal background traffic,BENIGN
7680,347,Normal background traffic,BENIGN
9993,181,Normal background traffic,BENIGN
443,232,Normal background traffic,BENIGN
7680,217,Normal background traffic,BENIGN
7680,158,Normal background traffic,BENIGN
9993,207,Normal background traffic,BENIGN
7680,276,Normal background traffic,BENIGN
443,301,Normal background traffic,BENIGN
80,256,Normal background traffic,BENIGN
443,148,Normal background traffic,BENIGN
443,467,Normal background traffic,BENIGN
53,407,Normal background traffic,BENIGN
9993,205,Normal background traffic,BENIGN
7680,473,Normal background traffic,BENIGN
7680,132,Normal background traffic,BENIGN
7680,86,Normal background traffic,BENIGN
53,186,Normal background traffic,BENIGN
7680,130,Normal background traffic,BENIGN
443,219,Normal background traffic,BENIGN
53,67,Normal background traffic,BENIGN
7680,100,Normal background traffic,BENIGN
53,227,Normal background traffic,BENIGN
53,181,Normal background traffic,BENIGN
443,191,Normal background traffic,BENIGN
443,135,Normal background traffic,BENIGN
7680,259,Normal background traffic,BENIGN
7680,418,Normal background traffic,BENIGN
7680,335,Normal background traffic,BENIGN
443,139,Normal background traffic,BENIGN
7680,85,Normal background traffic,BENIGN
9993,152,Normal background traffic,BENIGN
7680,116,Normal background traffic,BENIGN
7680,480,Normal background traffic,BENIGN
443,351,Normal background traffic,BENIGN
9993,392,Normal background traffic,BENIGN
443,437,Normal background traffic,BENIGN
9993,99,Normal background traffic,BENIGN
443,285,Normal background traffic,BENIGN
53,344,Normal background traffic,BENIGN
7680,219,Normal background traffic,BENIGN
53,299,Normal background traffic,BENIGN
53,477,Normal background traffic,BENIGN
7680,112,Normal background traffic,BENIGN
53,457,Normal background traffic,BENIGN
80,79,Normal background traffic,BENIGN
443,189,Normal background traffic,BENIGN
7680,450,Normal background traffic,BENIGN
7680,340,Normal background traffic,BENIGN
443,300,Normal background traffic,BENIGN
53,108,Normal background traffic,BENIGN
80,179,Normal background traffic,BENIGN
7680,475,Normal background traffic,BENIGN
7680,406,Normal background traffic,BENIGN
443,387,Normal background traffic,BENIGN
80,326,Normal background traffic,BENIGN
80,301,Normal background traffic,BENIGN
9993,84,Normal background traffic,BENIGN
53,30,Normal background traffic,BENIGN
443,395,Normal background traffic,BENIGN
53,31,Normal background traffic,BENIGN
443,320,Normal background traffic,BENIGN
7680,429,Normal background traffic,BENIGN
53,479,Normal background traffic,BENIGN
443,259,Normal background traffic,BENIGN
80,99,Normal background traffic,BENIGN
80,360,Normal background traffic,BENIGN
53,54,Normal background traffic,BENIGN
443,132,Normal background traffic,BENIGN
443,479,Normal background traffic,BENIGN
9993,313,Normal background traffic,BENIGN
7680,152,Normal background traffic,BENIGN
80,205,Normal background traffic,BENIGN
7680,21,Normal background traffic,BENIGN
443,103,Normal background traffic,BENIGN
7680,176,Normal background traffic,BENIGN
9993,104,Normal background traffic,BENIGN
9993,434,Normal background traffic,BENIGN
80,189,Normal background traffic,BENIGN
80,211,Normal background traffic,BENIGN
443,234,Normal background traffic,BENIGN
7680,223,Normal background traffic,BENIGN
80,351,Normal background traffic,BENIGN
53,319,Normal background traffic,BENIGN
9993,427,Normal background traffic,BENIGN
9993,444,Normal background traffic,BENIGN
53,35,Normal background traffic,BENIGN
53,79,Normal background traffic,BENIGN
53,385,Normal background traffic,BENIGN
7680,112,Normal background traffic,BENIGN
7680,37,Normal background traffic,BENIGN
443,117,Normal background traffic,BENIGN
53,59,Normal background traffic,BENIGN
80,398,Normal background traffic,BENIGN
7680,283,Normal background traffic,BENIGN
443,192,Normal background traffic,BENIGN
9993,219,Normal background traffic,BENIGN
443,26,Normal background traffic,BENIGN
443,332,Normal background traffic,BENIGN
7680,118,Normal background traffic,BENIGN
443,402,Normal background traffic,BENIGN
53,228,Normal background traffic,BENIGN
53,95,Normal background traffic,BENIGN
7680,206,Normal background traffic,BENIGN
80,267,Normal background traffic,BENIGN
7680,308,Normal background traffic,BENIGN
443,309,Normal background traffic,BENIGN
80,105,Normal background traffic,BENIGN
80,282,Normal background traffic,BENIGN
7680,100,Normal background traffic,BENIGN
443,154,Normal background traffic,BENIGN
443,278,Normal background traffic,BENIGN
9993,159,Normal background traffic,BENIGN
80,287,Normal background traffic,BENIGN
53,196,Normal background traffic,BENIGN
53,181,Normal background traffic,BENIGN
53,31,Normal background traffic,BENIGN
53,85,Normal background traffic,BENIGN
443,147,Normal background traffic,BENIGN
53,481,Normal background traffic,BENIGN
9993,119,Normal background traffic,BENIGN
9993,247,Normal background traffic,BENIGN
443,322,Normal background traffic,BENIGN
9993,397,Normal background traffic,BENIGN
80,214,Normal background traffic,BENIGN
7680,492,Normal background traffic,BENIGN
443,491,Normal background traffic,BENIGN
7680,425,Normal background traffic,BENIGN
443,180,Normal background traffic,BENIGN
80,347,Normal background traffic,BENIGN
7680,147,Normal background traffic,BENIGN
443,22,Normal background traffic,BENIGN
9993,86,Normal background traffic,BENIGN
80,399,Normal background traffic,BENIGN
7680,121,Normal background traffic,BENIGN
80,27,Normal background traffic,BENIGN
7680,240,Normal background traffic,BENIGN
80,80,Normal background traffic,BENIGN
80,27,Normal background traffic,BENIGN
443,130,Normal background traffic,BENIGN
443,446,Normal background traffic,BENIGN
7680,470,Normal background traffic,BENIGN
443,193,Normal background traffic,BENIGN
53,61,Normal background traffic,BENIGN
7680,386,Normal background traffic,BENIGN
443,174,Normal background traffic,BENIGN
7680,164,Normal background traffic,BENIGN
80,210,Normal background traffic,BENIGN
443,483,Normal background traffic,BENIGN
9993,249,Normal background traffic,BENIGN
80,455,Normal background traffic,BENIGN
9993,203,Normal background traffic,BENIGN
7680,194,Normal background traffic,BENIGN
7680,27,Normal background traffic,BENIGN
53,82,Normal background traffic,BENIGN
53,108,Normal background traffic,BENIGN
443,59,Normal background traffic,BENIGN
80,119,Normal background traffic,BENIGN
53,440,Normal background traffic,BENIGN
80,390,Normal background traffic,BENIGN
80,32,Normal background traffic,BENIGN
53,456,Normal background traffic,BENIGN
7680,393,Normal background traffic,BENIGN
80,212,Normal background traffic,BENIGN
443,396,Normal background traffic,BENIGN
53,233,Normal background traffic,BENIGN
53,321,Normal background traffic,BENIGN
53,289,Normal background traffic,BENIGN
80,213,Normal background traffic,BENIGN
9993,214,Normal background traffic,BENIGN
7680,181,Normal background traffic,BENIGN
443,486,Normal background traffic,BENIGN
80,473,Normal background traffic,BENIGN
7680,468,Normal background traffic,BENIGN
53,61,Normal background traffic,BENIGN
9993,268,Normal background traffic,BENIGN
53,341,Normal background traffic,BENIGN
443,162,Normal background traffic,BENIGN
443,477,Normal background traffic,BENIGN
7680,344,Normal background traffic,BENIGN
443,98,Normal background traffic,BENIGN
80,326,Normal background traffic,BENIGN
9993,54,Normal background traffic,BENIGN
9993,36,Normal background traffic,BENIGN
9993,256,Normal background traffic,BENIGN
80,21,Normal background traffic,BENIGN
53,346,Normal background traffic,BENIGN
443,139,Normal background traffic,BENIGN
443,183,Normal background traffic,BENIGN
53,451,Normal background traffic,BENIGN
80,380,Normal background traffic,BENIGN
53,204,Normal background traffic,BENIGN
443,294,Normal background traffic,BENIGN
53,158,Normal background traffic,BENIGN
443,266,Normal background traffic,BENIGN
7680,186,Normal background traffic,BENIGN
443,407,Normal background traffic,BENIGN
80,310,Normal background traffic,BENIGN
80,435,Normal background traffic,BENIGN
443,190,Normal background traffic,BENIGN
443,35,Normal background traffic,BENIGN
443,229,Normal background traffic,BENIGN
53,90,Normal background traffic,BENIGN
53,340,Normal background traffic,BENIGN
53,369,Normal background traffic,BENIGN
443,298,Normal background traffic,BENIGN
53,184,Normal background traffic,BENIGN
7680,208,Normal background traffic,BENIGN
9993,99,Normal background traffic,BENIGN
9993,94,Normal background traffic,BENIGN
80,341,Normal background traffic,BENIGN
443,427,Normal background traffic,BENIGN
443,275,Normal background traffic,BENIGN
80,457,Normal background traffic,BENIGN
7680,213,Normal background traffic,BENIGN
53,238,Normal background traffic,BENIGN
443,422,Normal background traffic,BENIGN
9993,266,Normal background traffic,BENIGN
443,55,Normal background traffic,BENIGN
80,432,Normal background traffic,BENIGN
7680,197,Normal background traffic,BENIGN
80,398,Normal background traffic,BENIGN
80,179,Normal background traffic,BENIGN
7680,436,Normal background traffic,BENIGN
7680,244,Normal background traffic,BENIGN
9993,174,Normal background traffic,BENIGN
53,171,Normal background traffic,BENIGN
80,253,Normal background traffic,BENIGN
80,446,Normal background traffic,BENIGN
443,110,Normal background traffic,BENIGN
443,298,Normal background traffic,BENIGN
80,293,Normal background traffic,BENIGN
7680,329,Normal background traffic,BENIGN
9993,39,Normal background traffic,BENIGN
443,322,Normal background traffic,BENIGN
80,255,Normal background traffic,BENIGN
9993,300,Normal background traffic,BENIGN
53,95,Normal background traffic,BENIGN
443,101,Normal background traffic,BENIGN
7680,397,Normal background traffic,BENIGN
9993,87,Normal background traffic,BENIGN
9993,54,Normal background traffic,BENIGN
80,354,Normal background traffic,BENIGN
443,99,Normal background traffic,BENIGN
80,314,Normal background traffic,BENIGN
443,25,Normal background traffic,BENIGN
9993,70,Normal background traffic,BENIGN
7680,375,Normal background traffic,BENIGN
80,54,Normal background traffic,BENIGN
9993,78,Normal background traffic,BENIGN
53,187,Normal background traffic,BENIGN
53,308,Normal background traffic,BENIGN
443,52,Normal background traffic,BENIGN
53,476,Normal background traffic,BENIGN
7680,33,Normal background traffic,BENIGN
9993,306,Normal background traffic,BENIGN
53,92,Normal background traffic,BENIGN
7680,150,Normal background traffic,BENIGN
9993,255,Normal background traffic,BENIGN
80,242,Normal background traffic,BENIGN
53,431,Normal background traffic,BENIGN
7680,244,Normal background traffic,BENIGN
443,338,Normal background traffic,BENIGN
443,56,Normal background traffic,BENIGN
9993,60,Normal background traffic,BENIGN
7680,149,Normal background traffic,BENIGN
443,186,Normal background traffic,BENIGN
443,107,Normal background traffic,BENIGN
9993,356,Normal background traffic,BENIGN
9993,448,Normal background traffic,BENIGN
80,56,Normal background traffic,BENIGN
53,157,Normal background traffic,BENIGN
53,125,Normal background traffic,BENIGN
7680,416,Normal background traffic,BENIGN
7680,227,Normal background traffic,BENIGN
80,196,Normal background traffic,BENIGN
7680,63,Normal background traffic,BENIGN
9993,409,Normal background traffic,BENIGN
53,254,Normal background traffic,BENIGN
443,121,Normal background traffic,BENIGN
443,170,Normal background traffic,BENIGN
7680,274,Normal background traffic,BENIGN
9993,314,Normal background traffic,BENIGN
7680,491,Normal background traffic,BENIGN
9993,90,Normal background traffic,BENIGN
53,200,Normal background traffic,BENIGN
53,259,Normal background traffic,BENIGN
9993,59,Normal background traffic,BENIGN
7680,463,Normal background traffic,BENIGN
80,286,Normal background traffic,BENIGN
7680,196,Normal background traffic,BENIGN
7680,455,Normal background traffic,BENIGN
443,363,Normal background traffic,BENIGN
80,102,Normal background traffic,BENIGN
53,86,Normal background traffic,BENIGN
443,123,Normal background traffic,BENIGN
9993,500,Normal background traffic,BENIGN
7680,218,Normal background traffic,BENIGN
443,209,Normal background traffic,BENIGN
443,284,Normal background traffic,BENIGN
9993,317,Normal background traffic,BENIGN
7680,91,Normal background traffic,BENIGN
443,105,Normal background traffic,BENIGN
443,116,Normal background traffic,BENIGN
7680,165,Normal background traffic,BENIGN
443,199,Normal background traffic,BENIGN
80,64,Normal background traffic,BENIGN
80,103,Normal background traffic,BENIGN
80,226,Normal background traffic,BENIGN
443,29,Normal background traffic,BENIGN
443,398,Normal background traffic,BENIGN
9993,140,Normal background traffic,BENIGN
53,396,Normal background traffic,BENIGN
53,468,Normal background traffic,BENIGN
53,191,Normal background traffic,BENIGN
53,204,Normal background traffic,BENIGN
443,338,Normal background traffic,BENIGN
7680,69,Normal background traffic,BENIGN
443,466,Normal background traffic,BENIGN
80,179,Normal background traffic,BENIGN
443,387,Normal background traffic,BENIGN
80,365,Normal background traffic,BENIGN
53,442,Normal background traffic,BENIGN
443,485,Normal background traffic,BENIGN
80,117,Normal background traffic,BENIGN
80,313,Normal background traffic,BENIGN
9993,271,Normal background traffic,BENIGN
53,190,Normal background traffic,BENIGN
